"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya","april_cases","april_deaths","pm25_val","no2_val","o3_val","pm10_val","nox_val"
"E06000001",20,997,25985,41.8,7.6179115,14.359226,2.8111393,11.625292,20.20684,79,24887.4,992,41.8,24887.4,41.8,24887.4,41.8,225,63,7.3628211,13.105737,5.303858,11.506778,17.730895
"E06000002",60,2608,22878,36.2,8.3422855,20.537653,2.2409465,12.522083,30.628742,272,21543.4,2601,36.4,21543.4,36.4,21543.4,36.4,500,142,8.2105405,20.178191,4.2518016,12.561928,29.296034
"E06000003",26,558,23236,45,7.7480735,8.4406127,3.7957471,12.845976,11.2736131,158,22960.2,555,44.7,22960.2,44.7,22960.2,44.7,294,69,7.2931372,7.749542,6.8514997,12.855827,9.9832409
"E06000004",26,962,26622,40.4,8.0381799,16.408541,2.6702927,12.169144,23.435384,199,24847.8,957,40.3,24847.8,40.3,24847.8,40.3,324,60,7.9008561,15.562038,5.0506318,12.25113,21.440737
"E06000005",14,540,26908,43.1,7.3687136,12.552449,2.7638065,11.199637,17.361185,125,25761.8,539,42.6,25761.8,42.6,25761.8,42.6,252,51,7.1532211,11.3603409,5.1988114,11.129635,15.098272
"E06000006",28,1624,26328,41,9.2717799,18.1869,1.888169,13.474783,26.51771,199,25255.6,1614,40.8,25255.6,40.8,25255.6,40.8,327,80,9.2573432,15.611062,4.3935691,13.269754,21.642167
"E06000007",41,1160,29842,42.2,8.9828525,18.181892,1.734613,13.09167,26.436852,336,28355,1156,41.7,28355,41.7,28355,41.7,694,152,8.5694032,17.232627,3.7784428,12.433627,24.256562
"E06000008",18,1087,22198,36.3,8.01833,13.6235929,2.0643815,11.889377,19.114973,158,21399,1084,36,21399,36,21399,36,291,59,7.6509851,12.3690162,4.2431712,11.3740139,16.653894
"E06000009",20,3997,21181,43.5,8.327269,12.1277659,2.3671485,11.749527,16.666887,149,20022.2,4013,43.4,20022.2,43.4,20022.2,43.4,399,75,7.3088457,10.6894658,4.8719872,10.5498611,14.089256
"E06000010",21,3648,20562,35.6,10.4394511,21.723093,2.2726851,15.850196,33.243922,123,20224,3626,35.8,20224,35.8,20224,35.8,391,77,10.1334295,18.906544,4.8822638,15.584662,27.329206
"E06000012",13,833,24119,42.4,9.5845867,14.123219,3.3394409,15.346355,20.00759,73,22755.8,830,42.2,22755.8,42.2,22755.8,42.2,48,28,9.0268366,12.339795,6.5379122,15.313372,16.649428
"E06000013",9,203,25417,44.1,9.417597,13.473132,2.9525316,14.901643,19.052475,104,25715,202,43.7,25715,43.7,25715,43.7,282,52,8.9422246,11.402008,5.8045487,14.852695,15.28743
"E06000014",27,772,25786,37.6,8.4994771,15.79808,2.7839461,12.794625,22.595381,126,25720,763,37.9,25720,37.9,25720,37.9,258,95,8.3177745,14.073252,5.2771586,12.844988,19.22192
"E06000015",98,3296,28529,36.9,11.319608,23.654536,1.6736213,16.338931,36.757534,353,26950.4,3276,36.7,26950.4,36.7,26950.4,36.7,448,217,9.7231876,20.326218,3.5086304,14.439633,29.549594
"E06000016",65,4843,20734,31.6,11.439728,25.634194,1.76392198,16.711135,40.799562,371,21017,4761,31.8,21017,31.8,21017,31.8,552,168,10.4551577,23.452086,2.6415407,15.80518,35.539774
"E06000017",2,104,24740,47,9.1773209,8.7885813,3.4863005,14.105359,11.885162,10,27093,102,46.1,27093,46.1,27093,46.1,3,9,8.5414677,6.9049517,4.2762239,13.82515,8.8399633
"E06000018",49,4437,22898,29.7,11.358995,26.225827,1.5512344,16.701681,42.113788,294,22435.2,4359,30.1,22435.2,30.1,22435.2,30.1,494,165,9.8736954,22.494498,3.1606484,15.146823,33.5871
"E06000019",18,88,24950,47,8.6972089,6.3357757,3.9056395,13.816851,8.3222263,102,23989,87,46.4,23989,46.4,23989,46.4,202,51,7.8481914,5.4888348,9.3299757,13.254887,6.9161711
"E06000020",20,612,23856,39.4,8.4282,9.204616,3.5940514,13.306339,12.423963,130,23612.4,602,39.3,23612.4,39.3,23612.4,39.3,186,60,7.6384959,7.9378183,8.2308411,12.696734,10.2491896
"E06000021",31,2738,24502,37.7,9.5762874,20.184143,1.8476429,14.13583,29.960794,189,22669,2718,37.9,22669,37.9,22669,37.9,360,97,8.696993,18.040019,4.1557601,13.072722,25.442578
"E06000022",34,555,30783,38.2,8.5415668,7.3768917,3.383924,12.987733,9.7988672,124,29150.2,543,39.1,29150.2,39.1,29150.2,39.1,122,74,8.0744721,6.2219782,11.216961,12.649253,7.8777198
"E06000023",62,4224,28065,32.5,10.3732913,22.242587,2.0065333,15.395296,33.728871,324,26717.8,4157,32.9,26717.8,32.9,26717.8,32.9,479,190,10.141752,19.645615,6.9402352,15.268601,28.177559
"E06000024",19,572,29897,45.9,8.1887902,9.3774493,3.0408202,12.285081,12.674347,118,28927.4,567,45.5,28927.4,45.5,28927.4,45.5,170,60,7.7227179,7.8162481,10.0594252,11.859697,10.035917
"E06000025",52,569,27813,40.7,9.3327132,12.396116,3.0532315,14.316492,17.163776,211,27319.2,560,41.1,27319.2,41.1,27319.2,41.1,273,115,8.8251447,10.1336664,9.7836599,13.987557,13.262449
"E06000026",21,3296,25021,38.3,8.7849109,16.255571,2.4538334,13.583175,23.503161,142,23104.4,3282,38.1,23104.4,38.1,23104.4,38.1,228,57,7.1248688,13.8075795,8.8657944,11.1351872,18.846321
"E06000027",16,2159,21710,48.6,7.7017872,8.6532137,3.1591667,11.787385,11.5293348,98,20644.2,2143,47.9,20644.2,47.9,20644.2,47.9,147,43,6.199585,7.9568285,10.690332,9.6125263,10.2212508
"E06000030",41,965,28230,39.8,10.979766,17.249419,3.3251289,15.910033,25.012232,169,27242,954,39.5,27242,39.5,27242,39.5,291,111,10.698124,15.296379,10.1525615,15.762797,21.047351
"E06000031",17,585,26233,36.5,10.510034,17.841085,3.2052036,15.600054,26.071132,109,25633.2,574,36.1,25633.2,36.1,25633.2,36.1,201,51,10.35024,15.375522,5.971525,15.764195,21.209423
"E06000032",74,4939,24830,34.2,11.193166,19.858236,3.2438307,16.141619,29.611396,380,24725.8,4927,33.5,24725.8,33.5,24725.8,33.5,580,151,11.392942,17.465116,8.4490826,16.697407,24.64537
"E06000033",67,4370,31343,41.6,10.9112582,16.513998,3.933594,15.427715,23.91461,215,29394.8,4342,41.4,29394.8,41.4,29394.8,41.4,266,128,10.097348,15.077051,12.151126,14.713368,20.925735
"E06000034",41,1055,28130,36.9,11.253006,17.502938,3.7656311,17.121421,25.394671,191,27465.2,1033,36.9,27465.2,36.9,27465.2,36.9,252,109,10.888211,18.213602,10.8782324,17.037179,25.973733
"E06000035",63,1436,29819,38.1,11.076428,15.632536,3.9793192,16.014656,22.469889,382,28155.2,1428,37.9,28155.2,37.9,28155.2,37.9,491,135,10.5078671,14.635515,12.41493,15.594275,20.216589
"E06000036",23,1112,32838,39.1,10.3223917,14.579104,3.8610629,14.664123,20.579763,113,32732.6,1099,38.7,32732.6,38.7,32732.6,38.7,173,54,10.8005391,13.755677,11.208737,15.271717,18.678224
"E06000037",37,225,35730,43.2,9.4913207,11.6869775,4.3048791,14.23786,16.171674,158,33840.2,224,42.6,33840.2,42.6,33840.2,42.6,230,105,9.2495919,10.7422492,12.701552,14.109801,14.210391
"E06000038",42,4040,32470,34.4,11.391493,22.39588,2.71842608,16.331692,35.232024,197,30574,4013,34.1,30574,34.1,30574,34.1,437,121,11.967983,21.056469,8.3979558,17.058124,32.029171
"E06000039",42,4582,29197,34.8,11.713947,25.026686,2.5308067,17.080286,39.512506,230,27951.2,4536,34.1,27951.2,34.1,27951.2,34.1,346,87,11.852959,21.822064,7.9858089,17.339909,32.26688
"E06000040",47,768,43963,42.1,9.8643991,14.651691,3.8290535,14.228024,20.810211,148,44560.6,762,41.6,44560.6,41.6,44560.6,41.6,183,103,9.9417355,13.377208,11.068768,14.465367,18.163235
"E06000041",39,939,41939,41.6,10.49741,17.017188,3.5429822,15.008447,24.931317,180,39149.4,920,41.5,39149.4,41.5,39149.4,41.5,320,106,10.687595,15.0526,10.7623644,15.339728,20.864217
"E06000042",79,870,31343,37.6,10.94886,16.077431,3.426346,16.428269,22.997112,296,30298.8,862,37,30298.8,37,30298.8,37,407,165,11.048485,14.499738,7.7130211,16.962875,19.804753
"E06000043",44,3508,31235,35.4,10.838328,16.01883,2.7058877,15.648712,22.840278,225,29463.4,3464,35.6,29463.4,35.6,29463.4,35.6,287,102,11.025587,14.884486,10.3394405,15.875898,20.408858
"E06000044",35,5327,24884,33.9,12.677245,22.554212,2.7371082,17.639075,34.903586,170,24193.6,5268,33.9,24193.6,33.9,24193.6,33.9,241,90,13.213224,21.359121,8.8209,18.101809,31.675248
"E06000045",39,5065,23961,32.2,10.8846389,27.829834,2.1337327,15.454615,47.494359,257,23600.6,4999,32.4,23600.6,32.4,23600.6,32.4,380,113,10.3177922,24.544592,7.3112921,14.633811,38.672284
"E06000046",13,373,23418,50.1,8.4969193,7.7468744,4.4185761,13.140457,10.3814969,51,23700.2,370,49.1,23700.2,49.1,23700.2,49.1,90,39,8.2462049,7.431829,13.554466,12.943836,9.5716871
"E06000047",160,237,26634,43.5,6.5231228,5.7100161,2.9289187,9.8711753,7.4387272,647,25391.2,235,43.4,25391.2,43.4,25391.2,43.4,1445,408,6.0331005,5.7349122,5.1401094,9.5391365,7.2482203
"E06000049",103,326,31067,46.2,8.0153054,10.0742941,2.3774347,12.252148,13.649505,408,30358,324,45.6,30358,45.6,30358,45.6,793,300,6.7889721,8.6089287,5.13379,10.791557,11.15036
"E06000050",73,371,29183,44.4,7.2666723,7.5207102,2.8662772,10.976437,9.9745381,422,28111.2,367,44,28111.2,44,28111.2,44,670,230,6.42349,6.6073813,6.40737,10.0441294,8.4135027
"E06000051",41,100,26455,47.4,7.8935279,5.3620111,4.2120777,12.877853,6.972859,237,25800,99,46.6,25800,46.6,25800,46.6,333,116,7.1339114,4.7606573,9.6392088,12.469246,5.9536199
"E06000052",76,160,22887,47.2,6.7733805,4.9872265,3.299444,11.698533,6.4358568,287,22008.4,158,46.6,22008.4,46.6,22008.4,46.6,283,162,5.8204697,4.9754798,10.780496,10.530826,6.2306985
"E06000054",89,153,29483,44.6,8.8128013,7.2671239,4.5239561,13.622236,9.7022468,236,27150.6,152,44,27150.6,44,27150.6,44,276,217,8.4006111,6.7378971,13.63944,13.388798,8.6117441
"E06000055",32,360,28943,40.2,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,232,28242.8,355,40,28242.8,40,28242.8,40,427,87,10.587698,14.592962,7.9134195,15.744936,20.014753
"E06000056",61,396,32221,41.3,10.3931732,12.915947,4.0803259,15.516103,18.081887,289,31588,389,41.3,31588,41.3,31588,41.3,467,163,10.3542272,11.1673792,9.6450359,15.84262,14.870688
"E06000057",59,64,25438,48,5.38475418,3.96859358,1.9859255,7.72358524,5.09170032,382,25817.4,64,47.3,25817.4,47.3,25817.4,47.3,843,164,5.0793556,3.8875708,3.0699431,7.3822133,4.8306673
"E07000008",12,3090,36066,30.6,10.383046,15.602427,4.5102072,15.431303,22.370437,92,32830.2,3067,31.3,32830.2,31.3,32830.2,31.3,118,59,10.3428173,14.0398031,10.723327,15.7755,19.208401
"E07000010",14,186,25799,44.8,9.0243468,9.4128512,4.9976177,13.238622,12.751213,69,24695.2,183,44.6,24695.2,44.6,24695.2,44.6,95,39,9.7234813,7.2036792,10.905031,16.943409,9.250054
"E07000011",18,196,33158,43.3,9.9860841,11.0644487,4.5573043,15.712569,15.168489,110,29970.8,194,42.8,29970.8,42.8,29970.8,42.8,136,61,9.6933509,9.3931915,9.5884524,15.923307,12.245406
"E07000012",12,175,38350,42.9,9.8785891,8.6933373,5.3755633,15.448987,11.704342,106,36589,173,42.5,36589,42.5,36589,42.5,122,43,9.5571141,7.3911396,12.372801,15.671176,9.4888027
"E07000026",24,79,28789,47.8,5.1649791,3.8748673,1.9942924,7.6842048,4.9539791,125,26716.6,78,47.2,26716.6,47.2,26716.6,47.2,149,47,4.7698073,4.101635,3.0095067,7.207602,5.1038051
"E07000027",27,861,27140,44.9,8.6935803,12.5033575,2.0479448,12.0178106,17.878201,393,24277,865,44.5,24277,44.5,24277,44.5,497,63,7.6728104,12.7273997,4.0888663,10.6241448,17.7032027
"E07000028",31,104,23809,44.8,7.20679246,10.49924286,1.66060986,10.31327192,14.29867296,229,22183.2,104,44.1,22183.2,44.1,22183.2,44.1,332,75,6.4412244,9.6188772,2.5603494,9.4925527,12.620967
"E07000029",18,94,31177,46.7,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,117,30858.4,94,46,30858.4,46,30858.4,46,203,42,4.8453715,3.8871822,3.4144278,7.3139754,4.8296503
"E07000031",63,68,27942,50.9,6.360427,7.0195044,2.236009,9.7407018,9.2131413,317,26072.6,68,50.2,26072.6,50.2,26072.6,50.2,411,113,5.7360738,6.9430999,3.7705112,9.133964,8.833435
"E07000032",31,477,28594,46,9.6235551,13.133372,2.4887442,14.047264,18.407579,89,27857.8,473,45.4,27857.8,45.4,27857.8,45.4,90,64,7.9724066,10.8315989,4.6666168,12.27071,14.339093
"E07000033",10,496,23373,44,9.5175353,13.266738,2.3038656,15.184342,18.547699,66,22090.6,491,43.6,22090.6,43.6,22090.6,43.6,114,31,8.032105,10.750084,4.3229535,13.752783,14.182632
"E07000034",17,1584,25376,44.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,109,23464,1584,44,23464,44,23464,44,136,46,7.4918109,13.857115,3.6528513,11.295953,18.940473
"E07000035",18,91,31252,50.8,7.7188652,8.0453598,2.4820571,11.859425,10.785775,66,29063,91,49.8,29063,49.8,29063,49.8,96,47,6.5041322,6.5049385,4.6260905,10.4602346,8.2911035
"E07000037",19,171,25908,45.9,6.4905263,7.4803572,2.03981,9.2773691,9.9726566,80,26038.6,171,45.2,26038.6,45.2,26038.6,45.2,149,71,5.5988672,6.0212262,3.9209425,8.1563056,7.6393795
"E07000038",31,367,25327,47.6,7.648886,9.061729,2.3484287,11.374969,12.254583,115,24919.2,365,47.1,24919.2,47.1,24919.2,47.1,209,81,6.4299199,7.2864957,4.3030872,9.9897856,9.342608
"E07000039",26,309,32936,42.2,9.7575521,10.993967,2.9479877,15.114071,15.111998,121,29731.8,302,42.1,29731.8,42.1,29731.8,42.1,174,78,8.118325,9.342942,5.2760869,13.535331,12.214542
"E07000040",8,177,25979,50.9,7.0908916,4.6193122,3.3736463,11.373262,5.9540432,78,25277,174,50.5,25277,50.5,25277,50.5,72,30,5.81499,4.4250547,11.526021,9.7121842,5.5150696
"E07000041",16,2773,24395,33.7,8.4874851,11.1663687,2.9058971,12.777247,15.254382,88,23810,2718,34.1,23810,34.1,23810,34.1,99,37,7.4702701,10.8247416,9.8805787,11.2773165,14.3143174
"E07000042",4,89,24840,46.5,7.0010136,3.7841164,3.3889833,11.292486,4.8376614,53,24544.2,88,46,24544.2,46,24544.2,46,37,12,5.6382026,3.9930223,11.519217,9.4425973,4.9617107
"E07000043",5,88,22084,47.6,6.7814286,3.9850809,3.2035849,10.903416,5.1008236,23,21406.2,88,47.1,21406.2,47.1,21406.2,47.1,34,24,5.8727802,4.0193632,10.420826,9.7108724,4.9923274
"E07000044",4,97,25262,51.2,6.4876111,4.0906034,3.453074,10.670891,5.2414742,49,23993.6,96,50.5,23993.6,50.5,23993.6,50.5,42,9,5.1396939,4.2960591,11.593116,8.682319,5.3509954
"E07000045",11,197,23794,49.2,7.0030125,4.8114699,3.4328392,11.229416,6.2012168,50,22858.6,194,48.6,22858.6,48.6,22858.6,48.6,74,26,5.5653932,5.0744308,11.467825,9.1772338,6.3619008
"E07000046",2,69,22622,50.2,6.744758,3.182322,3.3172266,11.197707,4.039916,8,21861,68,49.4,21861,49.4,21861,49.4,21,16,5.6258022,3.6705805,10.87213,9.7029175,4.5492059
"E07000061",19,2336,26181,45.7,9.5527744,10.6692686,3.0593083,13.820396,14.548036,63,23872.6,2327,44.9,23872.6,44.9,23872.6,44.9,93,39,9.3773453,9.7524617,11.759843,13.624178,12.8085308
"E07000063",21,352,27060,47.7,9.7554344,12.0582035,3.0160911,14.530667,16.572611,94,27978.8,349,47.2,27978.8,47.2,27978.8,47.2,139,70,9.6846534,11.0909904,11.441548,14.452569,14.678283
"E07000066",63,1689,32954,39.3,11.392952,18.167649,3.6872902,16.614669,26.518565,221,31050.8,1673,39.5,31050.8,39.5,31050.8,39.5,351,145,10.804425,18.189628,10.8033665,16.026555,25.881148
"E07000067",28,248,32889,43.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,102,29742.6,247,43,29742.6,43,29742.6,43,150,81,10.2612966,11.6728812,11.992531,15.909495,15.557248
"E07000068",30,500,40998,43.3,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,107,42520,500,43.3,42520,43.3,42520,43.3,143,62,10.865376,16.547783,10.978728,16.589454,23.031353
"E07000069",27,1998,31942,46.9,10.321809,14.766062,4.1301228,14.892576,21.016725,89,28422,2007,46.7,28422,46.7,28422,46.7,99,54,9.8696977,14.451425,12.369334,14.589595,19.946812
"E07000070",47,523,31884,41.7,11.519376,16.208225,3.9586032,16.930769,23.179425,186,34181.8,517,41.6,34181.8,41.6,34181.8,41.6,285,100,10.893198,15.820256,11.02043,16.397975,21.969149
"E07000071",26,585,32774,37.9,11.099726,15.394256,3.9295471,16.197012,21.933111,106,29549.8,574,38.1,29549.8,38.1,29549.8,38.1,278,73,10.553737,14.486958,11.0917336,15.910501,19.884129
"E07000072",65,387,35185,42.7,10.946901,17.379737,3.7714663,16.301759,25.030891,235,36454.4,384,42.7,36454.4,42.7,36454.4,42.7,321,158,10.770344,16.199255,10.499471,16.411959,22.466074
"E07000073",38,2836,28669,37.5,10.691811,15.491037,4.0120848,15.747967,22.001155,158,27280.8,2814,37.4,27280.8,37.4,27280.8,37.4,240,64,10.328424,14.646809,10.711956,15.602346,20.052829
"E07000074",13,180,34872,48.7,10.695048,11.6340119,4.4732938,16.152613,16.013231,54,35998.4,178,48,35998.4,48,35998.4,48,61,27,10.0109266,11.3033299,12.706679,15.676423,15.087075
"E07000075",26,513,32303,46.1,10.762884,13.654381,4.2624479,16.319811,19.2474,83,31612.2,514,45.7,31612.2,45.7,31612.2,45.7,94,54,10.1034934,13.297038,12.673199,15.835545,18.168158
"E07000076",37,432,24841,50.4,10.1060267,9.0883916,4.6977376,15.808115,12.221089,119,24359.8,428,50,24359.8,50,24359.8,50,239,105,9.4568668,8.3853929,13.180653,15.53917,10.871376
"E07000077",16,139,43669,44,10.0611995,9.9835511,4.9240464,15.777565,13.559143,79,40109.2,136,43.7,40109.2,43.7,40109.2,43.7,121,40,9.6183207,9.283396,12.340784,15.836573,12.146907
"E07000078",37,2513,32972,40.2,9.918287,14.306349,3.2504543,14.312529,20.231531,173,29782.8,2507,39.8,29782.8,39.8,29782.8,39.8,254,108,9.7823787,12.6487166,8.4189213,14.347903,17.027794
"E07000079",14,76,31025,48.8,8.8701908,6.5570799,4.0573302,13.822258,8.6576622,77,28983.8,75,48.3,28983.8,48.3,28983.8,48.3,85,47,8.4783781,5.7545401,10.36799,13.764573,7.2725684
"E07000080",16,164,26008,47.9,8.1226083,6.1716458,3.7835082,11.761135,8.1014564,65,26139,163,47.4,26139,47.4,26139,47.4,62,36,7.7472725,5.5670709,10.158138,11.573183,7.0180787
"E07000081",31,3188,25840,38.9,10.022086,15.67164,3.0434719,14.604373,22.461307,144,24307.2,3159,38.6,24307.2,38.6,24307.2,38.6,305,105,9.8998636,13.924985,8.0505031,14.741141,18.981825
