ons_code,area,petroleum Industrial ,petroleum Domestic,petroleum Rail,petroleum Public Administration,petroleum Commercial,petroleum Agriculture,coal Industrial Commercial,coal Domestic,coal Rail,Manufactured Solid Fuels Industrial,Manufactured Solid Fuels Domestic,bioenergy
W06000019,Blaenau Gwent,5.1,0.4,0.1,0,0.1,0.1,0.3,0.9,NA,0,0.6,3
W06000013,Bridgend,10.5,1.7,2.1,0,0.1,1.8,2.3,1.2,NA,11.3,0.8,6.2
W06000018,Caerphilly,13.1,1.6,1.4,0,0.1,1.6,1.3,2.5,NA,0.3,1.5,7.7
W06000015,Cardiff,9.8,1.1,3,0.1,0.3,0.8,0.6,1.1,NA,12,1.1,12.8
W06000010,Carmarthenshire,14.4,39.1,1.6,0.1,0.6,30.1,1.8,6,0,3,3.4,12.4
W06000008,Ceredigion,13.7,24.4,0.8,0.1,0.4,19.3,0.6,3.4,0.3,0,1.9,28.3
W06000003,Conwy,7.4,7.5,1.1,0.1,0.2,4.9,0.8,1.8,NA,NA,1.2,7.2
W06000004,Denbighshire,11.1,10.3,0.8,0,0.2,5.6,1.6,1.9,0.2,0.1,1.2,6.1
W06000005,Flintshire,32.9,14.6,1.2,0,0.3,4,28.3,2.1,NA,9.9,1.3,118.6
W06000002,Gwynedd,17.1,22.6,1.4,0.1,0.8,12.1,1.7,4.3,1.2,0,2.6,13.4
W06000001,Isle of Anglesey,6.5,16.3,0.7,0,0.3,9.6,1.1,1.8,NA,0,1.1,6.6
W06000024,Merthyr Tydfil,2.9,0.8,0.9,0,0,0.3,0,0.7,0,NA,0.5,2.6
W06000021,Monmouthshire,5.2,11.3,1.9,0,0.3,8.6,0.6,1.7,NA,0,1,8.7
W06000012,Neath Port Talbot,20.8,4.2,2.4,0,0.1,2,31.6,2.5,NA,383.6,1.5,6.5
W06000022,Newport,12.4,2.5,2.2,0,0.2,1.7,0.2,0.8,NA,4,0.6,5.9
W06000009,Pembrokeshire,603.5,26.6,0.9,0.1,0.7,19.6,2.4,2.6,NA,249.2,1.6,9.3
W06000023,Powys,23.9,37,0.7,0.1,0.6,30.9,2,5.3,0.2,0.6,3,11.2
W06000016,"Rhondda, Cynon, Taff",12.6,1.6,2.9,0,0.1,2,2.2,3.3,NA,0.3,2,11.2
W06000011,Swansea,13.2,5.6,1,0,0.3,2.9,0.3,2.2,NA,0.1,1.5,10.2
W06000020,Torfaen,8.4,0.7,0.5,0,0,0.5,0.3,0.7,0,0.1,0.5,3.8
W06000014,The Vale of Glamorgan,12.7,4.7,2.6,0,0.2,3.8,28.2,0.9,0,0.1,0.7,15.4
W06000006,Wrexham,11.6,8.4,0.7,0,0.2,4.4,0.9,1.7,NA,0,1.1,70.6
W92000004,TOTAL WALES,868.8,243,31,1,5.9,166.5,109.4,49.3,1.9,674.5,30.8,377.7
S12000033,Aberdeen City,36.9,1.8,0.6,1.5,0.2,1,0.4,0.4,NA,1.2,0.3,4.9
S12000034,Aberdeenshire,36.5,48,1.8,0.1,0.8,30.6,4.1,4,NA,1.1,2.4,11
S12000041,Angus,12.1,10.3,1.1,0,0.2,7.2,1.9,1.1,0,NA,0.7,4.1
S12000035,Argyll and Bute,19.4,10.8,0.5,3.6,0.6,10.1,1.5,2.7,NA,0,1.5,4.6
S12000005,Clackmannanshire,1.9,0.8,4.3,0,0,0.8,0,0.2,NA,NA,0.2,1.1
S12000006,Dumfries and Galloway,19.2,21.9,4,0.1,0.5,42.6,2.3,2.9,NA,0,1.7,6.5
S12000042,Dundee City,7.9,0.5,0.4,0,0.1,0.1,0,0.2,NA,0,0.3,3.1
S12000008,East Ayrshire,8.7,3.2,2.1,0.1,0.1,8.2,0.5,0.6,NA,0,0.4,12.5
S12000045,East Dunbartonshire,3.4,0.8,4.6,0,0,0.8,0.2,0.2,NA,0,0.2,2.1
S12000010,East Lothian,6.5,4.3,0.2,0,0.2,3.3,51,1,NA,0,0.6,14.7
S12000011,East Renfrewshire,1.3,0.8,1.4,0,0,1.3,0,0.1,NA,0,0.1,1.7
S12000036,"Edinburgh, City of",18.9,1.7,3,0.2,0.3,0.9,0.1,0.6,NA,0,0.6,6.8
S12000013,Na h-Eileanan Siar,8.6,10.9,0.5,0.1,0.2,3.1,1,1.9,NA,NA,1,1.8
S12000014,Falkirk,1191.9,2,4,0.1,0.2,2,0.1,0.8,0,53.8,0.5,3
S12000047,Fife,501.3,8.3,3.4,0.1,0.6,7.7,0.5,1.7,NA,1.1,1.2,16.4
S12000046,Glasgow City,24.5,1.2,1.8,0.1,0.4,0.3,0,0.5,NA,0.1,0.5,5.6
S12000017,Highland,46.1,50.3,3.2,3.3,1.9,26,4,9.7,0.2,0.1,5.1,98.4
S12000018,Inverclyde,1.5,0.4,0,0,0,0.6,0,0.1,NA,0,0.1,1.2
S12000019,Midlothian,5.4,2.5,0.1,0,0.1,1.9,0.3,0.8,NA,NA,0.5,2.1
S12000020,Moray,15,11.5,0.6,0.4,0.2,8,3.7,1.5,0.1,NA,0.9,7.9
S12000021,North Ayrshire,9.5,3.2,0.6,0,0.2,4,0.3,0.4,NA,0,0.3,126.6
S12000044,North Lanarkshire,18.1,2.8,2.7,0.1,0.2,2.3,0.2,0.8,NA,3.1,0.7,5.6
S12000023,Orkney Islands,6,6.5,NA,0.1,0.3,10.4,0.4,1.2,NA,NA,0.6,1.5
S12000048,Perth and Kinross,11.3,17,3.3,0.1,0.6,14,2.3,1.6,NA,0,1,5.5
S12000038,Renfrewshire,13.3,1,2.2,0,0.1,1.6,0,0.3,NA,0,0.3,2.9
S12000026,Scottish Borders,11.3,16.2,0.1,0,0.4,24,3.5,2.9,NA,0,1.6,5.6
S12000027,Shetland Islands,12.5,5.4,NA,0.1,0.3,5.6,0.5,0.7,NA,NA,0.4,1.3
S12000028,South Ayrshire,11.7,5.4,4.5,0,0.3,8.9,2.6,0.8,NA,0.2,0.5,2.7
S12000029,South Lanarkshire,23.8,10,1.1,0.1,0.3,10.6,0.6,1.9,NA,0.5,1.2,6.5
S12000030,Stirling,6,5.3,2.1,0.1,0.4,5.5,0.3,0.7,NA,NA,0.4,64.2
S12000039,West Dunbartonshire,4.4,0.7,0,0.1,0.1,0.7,0,0.1,NA,0,0.1,1.2
S12000040,West Lothian,15.9,2.4,2.1,0,0.2,2.5,0.3,0.8,NA,0.8,0.6,3.9
S92000003,TOTAL SCOTLAND,2110.8,267.9,56.2,10.4,9.9,246.5,82.5,43.4,0.4,62.1,26.2,437.1
E06000047,County Durham,39.6,9.5,10,0.1,0.5,10.8,3.2,5.3,0.1,1.6,2.8,20.9
E06000005,Darlington,7.5,1.1,1.9,0,0.1,1.2,0.3,0.2,NA,0.1,0.2,1.7
E08000037,Gateshead,9.5,0.7,1.1,0,0.2,0.3,0.3,NA,0,1.7,NA,0.1
E06000001,Hartlepool,5.2,0.4,0.2,0,0,0.4,0,0.2,NA,25.1,0.1,1.3
E06000002,Middlesbrough,3.6,0.3,0.6,0,0,0.2,NA,0.2,NA,0.1,0.2,2.1
E08000021,Newcastle upon Tyne,11.8,0.6,1.1,0.1,0.1,0.3,0,0.3,NA,0,0.3,2.7
E08000022,North Tyneside,5.5,0.4,1.3,0,0.1,0.2,0,0.2,0,0.5,0.2,2.5
E06000057,Northumberland,23.3,19,9.9,0.1,0.8,30.9,2.9,NA,NA,0,NA,44
E06000003,Redcar and Cleveland,609,1.3,0.9,0,0.1,1.1,0,0.5,NA,2.1,0.4,2.2
E08000023,South Tyneside,6.7,0.4,0.6,0,0,0.1,NA,0.3,NA,0.4,0.2,1.6
E06000004,Stockton-on-Tees,72,1.3,2.1,0,0.1,0.8,3.4,0.3,NA,0.3,0.2,3.1
E08000024,Sunderland,15.4,0.8,0.2,0,0.1,0.3,0,0.7,NA,1,0.5,3.2
E12000001,TOTAL NORTH EAST,809.3,35.7,30,0.5,2.1,46.5,10.2,8.3,0.1,32.9,5.2,85.2
E07000026,Allerdale,9.1,8.5,0.5,0,0.3,12.1,0.7,2.3,NA,0.9,1.3,247.7
E07000027,Barrow-in-Furness,30.2,0.5,0.3,0,0,0.4,1.4,0.5,NA,0,0.4,4.7
E06000008,Blackburn with Darwen,8.5,0.9,0.3,0,0.1,0.6,0,0.6,NA,0.1,0.5,4.9
E06000009,Blackpool,3.2,0.3,0.2,0,0,0.1,0.1,0.5,NA,0.1,0.5,5.2
E08000001,Bolton,15.8,1,2.1,0.1,0.1,0.5,0.6,0.9,NA,0.3,0.8,10.7
E07000117,Burnley,4.4,0.6,0.2,0,0,0.5,0,0.5,NA,NA,0.4,3.9
E08000002,Bury,6,0.8,NA,0,0.1,0.4,0,0.5,0.1,0.1,0.4,4.8
E07000028,Carlisle,8.6,7.1,3.4,0,0.2,10.2,0.7,1.8,NA,0,1.1,4.3
E06000049,Cheshire East,32,19.2,5.9,0.1,0.9,11.7,5.6,3,NA,0.4,2,11.7
E06000050,Cheshire West and Chester,595.9,13.5,3.5,0.1,0.7,9.1,3.6,2.1,NA,226.2,1.4,9.8
E07000118,Chorley,2.8,1.7,1.6,0,0.1,1.4,0.7,0.8,NA,0.1,0.5,3.4
E07000029,Copeland,15.9,3.1,0.7,0.1,0.1,3.9,14.3,1.2,0.2,0,0.7,6
E07000030,Eden,7.4,14.6,2.8,0.1,0.5,16.9,0.5,2.8,0,0.4,1.5,3.6
E07000119,Fylde,12.6,1.3,2.3,0,0.1,1.4,0.9,0.4,NA,NA,0.2,1.8
E06000006,Halton,14.4,0.5,6.5,0,0.3,0.2,0.1,0.4,NA,0.2,0.4,48.4
E07000120,Hyndburn,6.5,0.3,0.1,0,0,0.5,0,0.4,NA,0,0.4,3.8
E08000011,Knowsley,8,0.6,2.1,0,0.1,0.3,1,0.5,NA,0.4,0.5,5.4
E07000121,Lancaster,6.3,3.9,1.6,0,0.2,5.5,0.5,0.9,NA,0,0.7,5.4
E08000012,Liverpool,11.2,0.8,3.4,0.1,0.4,0.2,NA,1.4,NA,0.2,1.5,17.9
E08000003,Manchester,22.2,1.1,2.5,0.3,0.7,0.1,NA,0.8,NA,0.6,0.8,10
E08000004,Oldham,9.5,1,1.1,0,0.1,0.3,0.4,0.5,NA,0.1,0.5,7.6
E07000122,Pendle,7.9,1.4,0.5,0,0,1.5,0.5,0.8,NA,0.2,0.6,5
E07000123,Preston,6.8,2,1,0,0.2,1.6,0,0.6,0,NA,0.5,5.1
E07000124,Ribble Valley,9.4,4.6,0.8,0,0.3,5.7,26,0.8,NA,0.1,0.5,38.5
E08000005,Rochdale,8.7,1,0.8,0,0.1,0.5,0,0.6,NA,0.3,0.5,5.2
E07000125,Rossendale,5.9,0.6,NA,0,0,0.5,0,0.4,0.1,0,0.3,2.2
E08000006,Salford,9.9,0.7,2.2,0.1,0.2,0.1,0,0.5,NA,0.4,0.5,4.8
E08000014,Sefton,5,1.3,3.4,0,0.1,0.4,0,0.9,NA,0.4,0.9,8.8
E07000031,South Lakeland,12.3,10.2,1.7,0,0.5,11.4,2.4,2,0,0,1.2,5.4
E07000126,South Ribble,42.5,1.1,0.3,0,0.1,0.9,0,0.5,NA,0.3,0.4,3.9
E08000013,St. Helens,6.6,0.7,5.5,0,0.2,0.4,0,0.7,NA,0.8,0.6,5.3
E08000007,Stockport,9.3,1.3,2,0,0.1,0.5,0.1,0.7,NA,0.2,0.7,7.5
E08000008,Tameside,9.8,0.6,2.2,0,0.1,0.3,0.1,0.6,NA,0.3,0.6,6.5
E08000009,Trafford,17.5,0.8,0.8,0,0.2,0.2,0,0.5,NA,0.4,0.5,20.3
E06000007,Warrington,9.5,1.4,3.9,0,0.3,0.6,0.9,0.7,NA,0.5,0.6,5.7
E07000127,West Lancashire,15.8,3.9,0.6,0,0.3,1.5,0.5,0.8,NA,0,0.5,2.5
E08000010,Wigan,13,1.2,3,0,0.1,0.5,0,1.6,NA,0.3,1.1,7.5
E08000015,Wirral,13.8,1.2,0.1,0,0.1,0.8,0,0.9,NA,0.3,0.9,10.6
E07000128,Wyre,8.4,3.3,0.5,0,0.1,2.8,3.2,0.8,NA,NA,0.5,3.9
E12000002,TOTAL NORTH WEST,1042.6,118.6,70.3,1.5,7.9,106.3,65,37.4,0.4,234.6,27.7,569.5
E08000016,Barnsley,13,1.8,1.6,0.1,0.2,1.5,3.8,3,NA,0.6,1.6,4
E08000032,Bradford,30,2.1,0.5,0,0.2,1.9,0.2,1.6,0,1.3,1.5,16.2
E08000033,Calderdale,15.6,1.9,1.4,0,0.1,1.2,5.6,1,NA,0.6,0.8,8.8
E07000163,Craven,5.5,5.1,1.5,0,0.2,8,1.4,0.6,0,NA,0.4,2
E08000017,Doncaster,18.8,2.9,9.6,0,0.4,2.1,0.4,2.7,NA,0.6,1.5,4.8
E06000011,East Riding of Yorkshire,76.5,20.3,4.8,0.1,0.7,11.8,12.8,3,NA,0.1,1.7,10.3
E07000164,Hambleton,15.1,16,7,0.1,0.5,8.1,1,1.2,0.2,0,0.6,2.1
E07000165,Harrogate,15,12,0.8,0.1,0.6,8.7,1.3,1,NA,0.1,0.6,3.5
E06000010,"Kingston upon Hull, City of",16.7,0.6,0.3,0,0.1,0.2,3.9,0.6,NA,0.3,0.6,7
E08000034,Kirklees,24.5,2.1,3.7,0,0.1,1.9,0.2,1.7,0,1.2,1.5,14.4
E08000035,Leeds,32.8,2.5,5.7,0.1,0.6,2.2,0.3,2.3,NA,3.9,2.2,28.1
E06000012,North East Lincolnshire,10.8,1.3,0.7,0,0.1,0.8,4,0.5,0,24.1,0.4,3.8
E06000013,North Lincolnshire,941.6,6.9,5.6,0,0.3,3.2,28.9,1.4,0,661.1,0.8,41.8
E07000166,Richmondshire,5.7,9.3,0.2,0,0.4,6.6,1.3,0.7,0.6,NA,0.4,1.3
E08000018,Rotherham,12.1,1.6,4.3,0,0.1,0.9,0,1.5,NA,2.3,0.9,3.5
E07000167,Ryedale,20.8,10.6,0.8,0.2,0.5,7.8,1.4,1.4,0.5,1.7,0.8,2.2
E07000168,Scarborough,10.3,5.6,2.3,0,0.3,4.1,0.7,1,0.4,0,0.6,3
E07000169,Selby,28.3,9.1,5.2,0.1,0.3,2.5,5.1,1.3,NA,0,0.7,3.6
E08000019,Sheffield,18.8,1.6,2.7,0.1,0.2,1,1.4,1.1,NA,11.3,0.9,8.7
E08000036,Wakefield,13.4,1.6,5.2,0,0.2,1.1,1,3,NA,0.4,1.7,6.1
E06000014,York,5.7,2.3,2.5,0.1,0.2,1.3,0.2,0.4,NA,0,0.4,4
E12000003,TOTAL YORKSHIRE AND THE HUMBER,1331,117.3,66.6,1.1,6.1,76.7,75.1,31.1,1.8,709.4,20.5,179.3
E07000032,Amber Valley,11.1,1.4,4.7,0,0.1,2.3,2.5,1.1,0.2,0.2,0.7,4
E07000170,Ashfield,13,0.6,0.7,0.1,0,0.4,0,1.1,NA,0,0.6,2.3
E07000171,Bassetlaw,14.3,5.7,3.4,0.1,0.3,2.9,3.5,2.1,NA,0.1,1.1,4.1
E07000129,Blaby,4.6,0.6,1.4,0,0.1,0.7,1.5,0.3,NA,0,0.2,2.1
E07000033,Bolsover,9.7,0.6,0.9,0,0.1,0.7,25.8,1.8,NA,4.8,0.9,27
E07000136,Boston,5.4,4.1,0.2,0.5,0.2,1.3,0.5,0.7,NA,0,0.4,2.3
E07000172,Broxtowe,11.8,0.4,1.5,0,0.1,0.3,0,0.4,NA,0.5,0.3,2.3
E07000130,Charnwood,22.9,1.1,5.2,0,0.2,1.7,0.4,0.5,0.1,0.3,0.4,3.5
E07000034,Chesterfield,3.9,0.3,2,0,0.1,0.2,NA,0.9,NA,1.2,0.5,2
E07000150,Corby,8.1,0.4,0.5,0,0.1,0.3,0,0.1,NA,0.1,0.1,0.9
E07000151,Daventry,10.4,6.1,0.7,0,0.4,4.5,1.4,0.4,0,0.2,0.3,2
E06000015,Derby,32.1,0.5,3.5,0,0.1,0.2,NA,0.6,NA,0.1,0.6,6.9
E07000035,Derbyshire Dales,18.6,4.5,0.5,0.1,0.3,7.7,3.1,1.1,0,0,0.6,3
E07000137,East Lindsey,12.5,17.9,0.3,0.4,0.5,7.8,3.7,2.4,0,0,1.3,4.9
E07000152,East Northamptonshire,8.7,4,0.3,0,0.2,1.9,0.5,0.4,NA,NA,0.3,2
E07000036,Erewash,6.5,0.4,2.7,0.1,0,0.6,3.3,0.5,NA,0.1,0.4,3.4
E07000173,Gedling,4.8,0.6,1.5,0.1,0,0.5,0.1,0.5,NA,2.5,0.3,2.4
E07000131,Harborough,8.3,4.1,1.1,0,0.3,4.7,1.1,0.4,NA,0.1,0.3,2
E07000037,High Peak,14.2,1.2,1.9,0,0.1,1.5,98.7,0.5,NA,15.8,0.3,72.2
E07000132,Hinckley and Bosworth,12.2,2.2,0.7,0,0.2,1.8,1.6,0.6,0,4.6,0.4,2.7
E07000153,Kettering,5.6,1.4,1.6,0,0.2,1.2,1.9,0.3,NA,0.1,0.2,2.5
E06000016,Leicester,17.4,0.5,0.7,0.2,0,0.2,0,0.5,0,0.4,0.5,5.7
E07000138,Lincoln,5.5,0.2,0.4,0,0.1,0.1,NA,0.2,NA,0.2,0.2,1.9
E07000174,Mansfield,4.2,0.4,0.3,0,0,0.2,NA,1.4,NA,0.1,0.7,2.1
E07000133,Melton,5.8,3,1.3,0,0.2,3.4,0.8,0.4,NA,0.6,0.2,1.6
E07000175,Newark and Sherwood,12.8,5.2,2,0,0.3,3.1,13.3,1.4,NA,1.1,0.8,3.7
E07000038,North East Derbyshire,6.4,1.2,2.6,0,0.1,1.5,0.8,2.2,NA,1.8,1.1,2.5
E07000139,North Kesteven,12.8,8.4,1,0.1,0.3,4.2,0.7,1.3,NA,0.4,0.7,4.8
E07000134,North West Leicestershire,79.7,2.4,4.1,0,0.4,1.7,1.8,1.6,NA,3.9,0.9,2.4
E07000154,Northampton,12.8,0.5,0.1,0,0.1,0.3,0,0.4,0,0.7,0.4,4.4
E06000018,Nottingham,11.2,0.5,1.3,0,0.4,0.2,NA,0.7,NA,NA,0.6,5.5
E07000135,Oadby and Wigston,3.5,0.1,0.5,0,0,0.1,NA,0.1,NA,NA,0.1,1
E07000176,Rushcliffe,4.7,2.6,1,0,0.1,2.3,1.5,0.5,0.1,0.1,0.3,2.4
E06000017,Rutland,9.3,2.4,1.8,0,0.2,1.8,30.7,0.2,NA,NA,0.2,60.8
E07000039,South Derbyshire,9.7,2.3,5.6,0,0.2,2.6,0.9,1,NA,0,0.6,9.1
E07000140,South Holland,8.4,8.2,2.2,0,0.6,2.5,0.3,1.3,NA,NA,0.7,2.7
E07000141,South Kesteven,28,9.4,3,0.1,0.5,3.9,7.7,1.1,NA,0,0.7,3.8
E07000155,South Northamptonshire,10.6,5.7,5.6,0,0.4,3.8,1.2,0.5,NA,0,0.3,2.2
E07000156,Wellingborough,5.9,0.5,1.2,0,0.1,0.8,1,0.2,NA,0,0.2,1.8
E07000142,West Lindsey,9.9,9.2,2.7,0,0.2,5.5,0.4,1.1,NA,NA,0.6,2.6
E12000004,TOTAL EAST MIDLANDS,497.4,120.6,72.6,2.3,7.7,81.6,210.8,32.3,0.5,40,20,275.6
E08000025,Birmingham,36.3,2.1,9.8,0.3,0.3,0.4,NA,1.8,NA,1.2,1.9,24.3
E07000234,Bromsgrove,4.1,1.8,3.2,0,0.2,1.5,0.3,0.4,NA,0.1,0.3,2.1
E07000192,Cannock Chase,9.7,0.3,0.9,0,0.1,0.3,0.5,0.5,NA,0.1,0.3,2.1
E08000026,Coventry,17.8,0.7,1.9,0.3,0.2,0.2,NA,0.6,NA,0.1,0.6,7.1
E08000027,Dudley,13.3,0.8,1,0.2,0.1,0.1,NA,0.9,NA,4,0.8,8.7
E07000193,East Staffordshire,17.7,4.4,1.9,1.5,0.3,4.7,1.4,1,NA,0.2,0.6,4
E06000019,"Herefordshire, County of",49.5,25.2,4.8,0.1,0.7,18.1,5.6,2.9,NA,0.2,1.7,9.1
E07000194,Lichfield,9.2,2.7,2.7,0,0.5,2.1,2.4,0.6,0,0.5,0.4,2.8
E07000235,Malvern Hills,7,10.6,0.5,0.1,0.4,4.7,0.6,1,NA,NA,0.6,2.7
E07000195,Newcastle-under-Lyme,4.7,2,0.4,0,0.1,2.3,0.4,0.7,NA,1.4,0.5,2.8
E07000218,North Warwickshire,7.3,1.6,4.5,0,0.2,1.4,0.3,0.8,NA,0,0.5,1.6
E07000219,Nuneaton and Bedworth,4.6,0.4,2.5,0,0,0.2,0,0.6,NA,0.1,0.4,2.8
E07000236,Redditch,6.6,0.4,NA,0,0,0.3,0.3,0.2,NA,0.2,0.1,4.3
E07000220,Rugby,10.7,1.7,0.6,0,0.2,2.2,57.3,0.4,NA,0.1,0.3,65.9
E08000028,Sandwell,23,0.6,1.9,0.1,0.1,0.1,NA,0.7,NA,5.2,0.6,7.2
E06000051,Shropshire,40.3,37.5,7.5,0.2,1.2,28.2,5.1,4.8,0.2,0.9,2.8,12.2
E08000029,Solihull,14.7,1.6,3.9,0,0.2,0.8,0.1,0.4,NA,0,0.4,3.9
E07000196,South Staffordshire,16,3,0.9,0,0.4,2.8,1.3,0.6,NA,0.2,0.4,2.9
E07000197,Stafford,8.8,7.2,0.7,0,0.3,6.4,0.6,1,NA,0.1,0.6,3.3
E07000198,Staffordshire Moorlands,12,6.2,0.2,0,0.2,6.5,30.3,1.7,0.1,0.4,0.9,53.2
E06000021,Stoke-on-Trent,18.5,0.5,1.3,0,0.1,0.5,NA,1.1,NA,1,0.8,6
E07000221,Stratford-upon-Avon,20.2,13.9,5.5,0.1,0.7,6.3,4,1.1,NA,0.1,0.7,4.2
E07000199,Tamworth,3.1,0.2,1.3,0,0,0.1,NA,0.3,NA,0.1,0.2,1.6
E06000020,Telford and Wrekin,27.8,2.5,1.3,0,0.2,1.6,0.2,0.7,0,0.9,0.5,3.6
