"","ons_code","area","personal.buses.Motorways","personal.buses.A.roads","personal.buses.Minor.roads","personal.diesel.cars.Motorways","personal.diesel.cars.A.roads","personal.diesel.cars.Minor.roads","personal.petrol.cars.Motorway","personal.petrol.cars.A.roads","personal.petrol.cars.Minor.roads","personal.motorcycles.Motorways","personal.motorcycles.A.roads","personal.motorcycles.Minor.roads","freight.HGV.Motorways","freight.HGV.A.roads","freight.HGV.Minor.roads","freight.diesel.LGV.Motorways","freight.diesel.LGV.A.roads","freight.diesel.LGV.Minor.roads","freight.petrol.LGV.Motorways","freight.petrol.LGV.A.roads","freight.petrol.LGV.Minor.roads"
"165","E07000144","Broadland",0,1061,1178,0,11312,10581,0,12265,11089,0,166,249,0,4900,1178,0,6532,5972,0,201,215
"166","E07000145","Great Yarmouth",0,544,846,0,6110,5344,0,7035,6149,0,96,151,0,2152,367,0,3276,3047,0,105,116
"167","E07000146","King's Lynn and West Norfolk",0,1439,1641,0,17013,17172,0,18285,17339,0,219,403,0,17777,1679,0,10742,9867,0,329,348
"168","E07000147","North Norfolk",0,770,959,0,8085,12505,0,8480,12145,0,112,277,0,3730,1188,0,4680,7226,0,143,249
"169","E07000148","Norwich",0,976,1165,0,5561,5422,0,7595,6778,0,120,180,0,2033,272,0,3173,3002,0,122,120
"170","E07000149","South Norfolk",0,1272,1376,0,23616,14988,0,24257,15073,0,340,329,0,16171,1756,0,14839,8455,0,434,297
"171","E07000150","Corby",0,209,817,0,3737,3828,0,4452,4620,0,37,91,0,3373,476,0,2051,1781,0,67,69
"172","E07000151","Daventry",567,469,751,17002,15089,8099,11929,15832,8250,65,129,126,36014,25019,1293,9732,9996,4562,279,296,161
"173","E07000152","East Northamptonshire",0,378,650,0,12166,6409,0,12807,6620,0,126,106,0,19873,1015,0,8166,3562,0,243,126
"174","E07000153","Kettering",0,634,969,0,16987,5786,0,18083,6708,0,133,121,0,24247,814,0,10836,2936,0,317,111
"175","E07000154","Northampton",0,1337,2413,10,18416,10203,7,22628,12757,0,155,256,19,11756,1233,6,8589,4600,0,291,184
"176","E07000155","South Northamptonshire",735,727,526,20749,17713,7662,14557,18139,7508,145,196,105,37825,17867,1250,12432,10417,4409,356,302,152
"177","E07000156","Wellingborough",0,376,673,0,10948,4305,0,11680,4839,0,106,93,0,7852,617,0,6082,2165,0,183,81
"178","E07000163","Craven",0,518,604,0,8042,4657,0,8597,4604,0,151,113,0,5474,443,0,4018,2733,0,124,95
"179","E07000164","Hambleton",120,1072,936,5216,18117,7415,3660,18738,7219,24,208,179,11775,26440,857,3481,13040,4210,100,380,146
"180","E07000165","Harrogate",571,1237,1576,20634,13862,11078,14477,15364,11372,118,148,221,35808,8607,1812,12229,7056,6246,351,225,223
"181","E07000166","Richmondshire",101,757,698,3412,9415,5602,2394,9655,5545,14,129,131,5123,14578,525,1708,6189,3110,49,179,109
"182","E07000167","Ryedale",0,820,942,0,9629,7632,0,9951,7413,0,206,185,0,7092,1294,0,6081,4339,0,180,150
"183","E07000168","Scarborough",0,1259,1024,0,8481,5987,0,9539,6264,0,217,132,0,3481,481,0,4685,3458,0,153,125
"184","E07000169","Selby",177,909,575,7580,14417,4128,5318,14962,4103,47,187,95,16727,10695,295,5015,8344,2303,144,244,81
"185","E07000170","Ashfield",155,216,1330,6474,5718,7635,4542,6700,9453,23,61,157,9590,3229,998,4146,3097,3444,119,102,137
"186","E07000171","Bassetlaw",17,656,994,1720,16454,9376,1207,17292,10090,13,183,154,4584,27068,1369,1287,11273,4969,37,330,180
"187","E07000172","Broxtowe",349,495,1043,12183,6780,5498,8588,8258,6646,56,105,126,18961,3223,659,7578,3840,2387,217,128,93
"188","E07000173","Gedling",0,354,851,0,4637,5126,0,5347,5932,0,53,105,0,1651,646,0,2233,2402,0,73,91
"189","E07000174","Mansfield",0,546,933,0,5444,4754,0,6895,5810,0,59,104,0,1952,563,0,2583,2131,0,91,84
"190","E07000175","Newark and Sherwood",0,812,871,0,22178,9630,0,22879,10086,0,239,136,0,32453,1471,0,15470,5047,0,451,181
"191","E07000176","Rushcliffe",0,1004,599,0,17946,5816,0,19188,6099,0,171,86,0,15881,822,0,10027,3062,0,303,109
"192","E07000177","Cherwell",696,934,847,27300,19025,9826,19268,20583,10297,202,233,181,34013,17036,856,13354,10279,5015,382,313,182
"193","E07000178","Oxford",0,1751,716,0,6765,5339,0,8325,6674,0,127,136,0,3701,444,0,3477,2746,0,119,110
"194","E07000179","South Oxfordshire",884,796,811,17400,11920,10515,12207,12583,10820,136,200,191,14717,5670,891,7362,6827,5376,211,208,192
"195","E07000180","Vale of White Horse",0,1183,791,0,25814,8836,0,26888,9305,0,325,173,0,26073,576,0,15020,4517,0,437,164
"196","E07000181","West Oxfordshire",0,576,666,0,10374,9755,0,10931,9793,0,177,172,0,5535,817,0,5703,4880,0,174,172
"197","E07000187","Mendip",0,647,1258,0,10864,11295,0,11612,11805,0,170,275,0,9223,1233,0,7228,5994,0,224,215
"198","E07000188","Sedgemoor",974,719,1199,24584,9242,9270,17248,10148,9888,152,169,245,22106,6013,898,11973,5699,4908,343,180,178
"199","E07000189","South Somerset",0,940,1338,0,22079,13219,0,23334,13440,0,270,293,0,15834,1540,0,14134,7107,0,421,251
"200","E07000192","Cannock Chase",54,270,831,2006,4590,3710,1409,5431,4491,9,52,52,1234,3157,252,685,2752,1914,20,89,75
"201","E07000193","East Staffordshire",0,591,1022,0,12219,7093,0,13902,7747,0,142,102,0,17048,1023,0,7289,3546,0,227,131
"202","E07000194","Lichfield",211,707,788,7616,19667,4934,5362,20838,5482,30,209,68,3772,19441,421,2416,11526,2547,69,342,95
"203","E07000195","Newcastle-under-Lyme",333,662,1071,11793,11661,6134,8522,13552,7399,69,112,87,25810,9770,503,3601,7097,3109,102,224,121
"204","E07000196","South Staffordshire",702,469,846,24599,10008,6237,18239,10558,6795,134,135,84,42934,6736,614,14373,5810,3138,411,175,116
"205","E07000197","Stafford",602,860,1186,24020,12549,8013,16854,14310,8807,100,146,114,44673,7841,717,11728,6620,4122,336,208,153
"206","E07000198","Staffordshire Moorlands",0,707,885,0,8111,6953,0,8902,7416,0,101,94,0,7971,661,0,4967,3601,0,152,131
"207","E07000199","Tamworth",0,198,706,0,3573,2925,0,4216,3657,0,42,44,0,2364,188,0,1661,1499,0,54,60
"208","E07000200","Babergh",0,651,659,0,14452,6740,0,15125,6748,0,174,164,0,17002,858,0,10109,4343,0,297,152
"209","E07000202","Ipswich",0,687,852,0,6526,3610,0,8110,4513,0,107,132,0,4722,237,0,3316,2382,0,111,95
"210","E07000203","Mid Suffolk",0,434,796,0,14032,8730,0,14361,8611,0,170,218,0,24287,1133,0,10507,5916,0,302,206
"211","E07000207","Elmbridge",191,547,912,6926,15002,8506,4831,16737,10635,62,337,162,6269,3680,572,3569,8391,4230,101,265,169
"212","E07000208","Epsom and Ewell",0,213,431,0,2650,4679,0,3517,5850,0,66,104,0,614,270,0,1410,2195,0,55,88
"213","E07000209","Guildford",102,1289,759,4088,30040,9960,2852,32567,11141,42,574,160,3441,9731,811,1945,16855,4716,55,510,177
"214","E07000210","Mole Valley",445,403,559,11398,8621,7606,7952,9753,8544,117,197,118,10505,2463,626,5936,4671,3569,168,150,135
"215","E07000211","Reigate and Banstead",586,602,799,17433,8038,8822,12147,10023,10893,186,163,164,14634,2774,604,9518,4480,4363,269,157,173
"216","E07000212","Runnymede",710,298,552,24414,5841,6532,17058,6843,7957,268,103,119,18335,1360,537,11463,2969,3194,325,99,126
"217","E07000213","Spelthorne",314,298,542,9304,4615,5399,6494,5674,6750,131,110,105,5821,1895,318,4285,2535,2627,121,89,105
"218","E07000214","Surrey Heath",329,263,579,14067,7651,6281,10014,8947,7573,147,110,119,8299,2313,443,6336,3862,3089,180,127,121
"219","E07000215","Tandridge",724,253,621,26839,4611,8843,18775,4962,9728,250,83,137,21193,2020,814,14905,2889,4064,424,88,151
"220","E07000216","Waverley",0,468,914,0,13762,12948,0,15299,14255,0,234,200,0,4686,1112,0,7454,6052,0,232,225
"221","E07000217","Woking",76,274,527,3037,4109,5205,2119,5184,6445,31,69,99,2552,1000,326,1442,1941,2605,41,70,103
"222","E07000218","North Warwickshire",826,236,564,41566,7588,6167,29183,8026,6351,189,98,89,64924,8766,508,22609,4361,2864,648,128,102
"223","E07000219","Nuneaton and Bedworth",60,338,1843,3873,4425,8615,2728,5984,10771,11,39,100,6841,2766,1265,2087,1916,4246,60,73,170
"224","E07000220","Rugby",373,709,1408,15872,12989,8925,11135,13924,9785,65,137,120,31910,10740,567,8887,6226,4097,255,185,152
"225","E07000221","Stratford-on-Avon",526,959,1096,24054,16614,13475,16876,17514,13340,110,216,168,25557,10686,1298,11277,7964,6260,323,240,219
"226","E07000222","Warwick",417,1152,2048,18278,20892,10458,12848,22475,11957,93,174,137,18101,10843,587,7920,8805,4829,227,262,184
"227","E07000223","Adur",0,298,347,0,5803,2674,0,6689,3343,0,145,59,0,1884,129,0,3880,1423,0,123,57
"228","E07000224","Arun",0,377,957,0,11463,9838,0,12513,11513,0,179,196,0,4747,628,0,7129,4939,0,216,190
"229","E07000225","Chichester",0,917,1084,0,16135,16392,0,17128,16599,0,275,260,0,6876,1487,0,10420,7716,0,311,274
"230","E07000226","Crawley",302,762,595,9269,5965,4587,6629,7705,5735,79,84,104,4510,1669,223,5295,2944,2440,150,104,97
"231","E07000227","Horsham",0,780,721,0,19396,11590,0,20202,11934,0,362,187,0,7578,1056,0,11970,5458,0,354,195
"232","E07000228","Mid Sussex",2,772,1020,89,18688,12503,63,19733,13838,1,271,234,47,8763,1046,52,12448,6118,1,364,229
"233","E07000229","Worthing",0,309,527,0,4105,4005,0,5544,5007,0,76,90,0,1022,188,0,2262,2135,0,84,85
"234","E07000234","Bromsgrove",358,309,1168,24664,11306,6770,17342,12230,7725,91,113,92,30358,5530,523,13662,6235,3278,391,186,124
"235","E07000235","Malvern Hills",178,430,873,9834,6482,8161,6899,6953,8545,48,83,116,16817,3277,876,5202,4079,3998,149,126,144
"236","E07000236","Redditch",0,140,960,0,4973,4530,0,6492,5591,0,40,58,0,1675,310,0,2037,2184,0,72,87
"237","E07000237","Worcester",2,372,1032,154,4415,4728,108,5354,5911,1,64,63,198,1379,298,77,2086,2210,2,70,88
"238","E07000238","Wychavon",386,594,990,22270,14910,9731,15624,15785,10054,99,202,125,30722,9296,1112,11394,7613,4741,327,230,169
"239","E07000239","Wyre Forest",0,397,1000,0,7048,5816,0,8284,6660,0,97,75,0,2715,482,0,3713,2833,0,123,107
"240","E07000240","St Albans",908,665,1109,31046,10840,10440,21733,11821,12315,222,137,233,38771,5839,912,17148,5515,5557,489,166,214
"241","E07000241","Welwyn Hatfield",201,401,1095,12273,5297,9554,8769,6674,11487,146,61,200,7127,2574,817,6221,2779,4999,177,96,195
"242","E07000242","East Hertfordshire",0,793,1121,0,16245,14019,0,17470,15384,0,222,268,0,6436,1553,0,9610,7520,0,288,278
"243","E07000243","Stevenage",46,416,629,4176,4531,5178,2995,6033,6471,43,50,117,2616,1094,362,2024,2070,2658,57,77,106
"244","E08000001","Bolton",400,1775,1640,17455,13698,17526,12613,18120,22219,106,146,329,15833,4453,1753,9414,7132,8583,266,263,349
"245","E08000002","Bury",410,1139,1044,16523,7342,11120,11940,10181,14098,93,66,209,18361,2049,1116,9954,3254,5465,281,127,222
"246","E08000003","Manchester",442,5609,2228,18341,19026,24425,13253,26544,30963,98,197,447,9957,5385,2381,7997,8502,11661,226,335,474
"247","E08000004","Oldham",70,1504,801,5224,9267,8643,3775,12577,10958,27,84,161,3358,3592,856,3012,4993,4190,85,190,170
"248","E08000005","Rochdale",387,1303,849,17188,8915,9187,12420,12308,11647,75,80,170,27794,3026,907,10484,4536,4443,296,176,181
"249","E08000006","Salford",400,2454,1102,25901,12887,11808,18716,17895,14970,133,160,221,28276,6603,1178,13931,7180,5770,393,282,234
"250","E08000007","Stockport",270,1584,1407,14473,12739,15322,10458,17495,19421,75,102,282,7954,4359,1503,7072,6089,7362,200,236,299
"251","E08000008","Tameside",155,1181,788,10031,7349,8471,7248,10109,10739,65,83,158,6471,3043,843,5693,4284,4127,161,165,168
"252","E08000009","Trafford",146,1158,1357,12467,8328,14189,9009,11470,17988,53,77,272,7251,3788,1450,5425,3848,7100,153,150,288
"253","E08000010","Wigan",289,2010,1334,13225,13392,14332,9556,17466,18170,80,180,268,17214,6260,1426,7608,7612,6984,215,276,284
"254","E08000011","Knowsley",252,981,1189,12501,8003,12163,9033,9784,15420,58,61,239,10915,5992,1271,7004,4462,6224,198,154,253
"255","E08000012","Liverpool",18,6079,2572,516,20296,26171,373,28135,33180,3,220,516,234,8740,2749,346,10838,13462,10,424,547
"256","E08000013","St. Helens",238,1030,649,12462,10079,6662,9005,12436,8445,58,119,130,14770,5611,693,7004,5180,3395,198,178,138
"257","E08000014","Sefton",59,1813,946,3045,12446,9594,2200,16434,12161,12,107,190,2733,5827,1011,1642,6207,4951,46,232,201
"258","E08000015","Wirral",277,2488,1448,12645,12714,14966,9137,16644,18973,108,217,290,6848,3719,1547,6032,6259,7576,170,232,308
"259","E08000016","Barnsley",285,1544,2432,12117,13707,13304,8756,16284,16867,50,215,298,13700,9411,1742,7686,8604,7936,217,281,322
"260","E08000017","Doncaster",507,2062,3525,27170,18428,19467,19633,22735,24677,128,203,432,68097,14096,2525,19253,10726,11501,544,363,467
"261","E08000018","Rotherham",496,1767,2762,19731,14329,14721,14257,18401,18658,80,136,338,32958,7257,1979,12592,7339,9013,356,265,366
"262","E08000019","Sheffield",224,3890,4925,8265,22711,24727,5972,30474,31347,46,270,603,8860,8985,3528,4589,11391,16071,130,432,653
"263","E08000021","Newcastle upon Tyne",93,2789,5977,1938,20013,17385,1400,26139,22030,12,172,244,333,8475,1420,735,10173,7843,21,371,319
"264","E08000022","North Tyneside",0,1419,4171,0,16225,12082,0,20736,15312,0,177,170,0,5184,991,0,7850,5472,0,282,222
"265","E08000023","South Tyneside",0,785,2585,20,9651,6779,14,11941,8595,0,120,105,12,4201,614,13,4972,3390,0,171,138
"266","E08000024","Sunderland",23,2512,6375,1118,20161,16450,808,24077,20847,13,145,260,684,9454,1515,671,11132,8371,19,371,340
"267","E08000025","Birmingham",536,6889,12194,16565,35898,71794,11970,50128,90995,101,360,910,25535,13350,6584,9251,16403,34240,261,647,1391
"268","E08000026","Coventry",53,1207,3905,3180,14358,23118,2298,18764,29291,13,132,291,7135,5826,2109,1729,5924,10967,49,216,445
"269","E08000027","Dudley",87,1995,3795,4079,13206,17976,2947,18086,22788,25,157,283,4726,6028,2048,2636,7023,10649,74,272,433
"270","E08000028","Sandwell",330,2161,3626,15356,12885,17054,11096,18124,21621,95,135,270,22307,8774,1956,10052,8168,10173,284,325,413
"271","E08000029","Solihull",607,658,3221,25745,10556,19721,18578,12651,25001,111,96,240,34082,5328,1738,12031,4249,9036,340,142,367
"272","E08000030","Walsall",215,1414,2622,9408,10288,12593,6798,13944,15965,53,102,195,18386,8339,1414,5392,6039,7355,152,230,299
"273","E08000031","Wolverhampton",0,2034,3118,0,10238,14619,0,14372,18532,0,108,233,0,5549,1683,0,5429,8755,0,215,356
"274","E08000032","Bradford",36,2723,4679,1636,21873,28156,1182,28396,35695,6,226,573,1190,10214,3351,800,11105,15267,23,406,620
"275","E08000033","Calderdale",234,1837,1602,11354,11739,9939,8204,15545,12601,45,147,196,21520,5321,1147,7368,6649,5227,208,246,212
"276","E08000034","Kirklees",459,2387,3009,19227,18177,18176,13893,24311,23043,93,207,368,32660,6801,2155,10765,9997,9817,304,374,399
"277","E08000035","Leeds",1526,6552,6176,61856,42578,43545,44696,56319,55201,295,450,756,77237,15064,4424,33955,22303,20153,959,833,819
"278","E08000036","Wakefield",587,2129,2400,24279,20665,16302,17543,24987,20660,121,242,294,42198,16469,1718,14713,11986,7830,415,396,318
"279","E08000037","Gateshead",94,1957,6575,3919,18066,16728,2832,22523,21207,23,170,268,2639,12031,1561,2032,10634,8624,57,370,350
"280","E09000001","City of London",0,1776,205,0,2939,1699,0,2245,1214,0,476,88,0,1736,110,0,1636,1094,0,66,45
"281","E09000002","Barking and Dagenham",0,1460,352,0,9891,3324,0,13194,4145,0,288,159,0,10210,195,0,6128,2085,0,243,85
"282","E09000003","Barnet",543,4503,722,6873,23058,7085,4708,28760,8827,191,699,326,4383,11154,400,4510,12550,4274,125,482,175
"283","E09000004","Bexley",0,2257,562,0,12912,5631,0,16862,7028,0,379,254,0,8054,311,0,8024,3329,0,304,136
"284","E09000005","Brent",0,2733,723,0,10399,7706,0,12963,9604,0,348,326,0,5868,400,0,5882,4277,0,234,175
"285","E09000006","Bromley",1,2941,1270,25,13126,12287,18,16792,15324,0,294,573,13,3874,704,18,7049,7520,1,262,307
"286","E09000007","Camden",0,5124,597,0,7629,4707,0,7978,5237,0,759,261,0,3002,322,0,4301,3285,0,175,136
"287","E09000008","Croydon",0,3109,1342,0,11310,13177,0,15136,16441,0,374,605,0,5038,743,0,6294,7942,0,249,324
"288","E09000009","Ealing",0,3458,938,0,17170,9152,0,22604,11408,0,603,423,0,12371,520,0,10017,5553,0,398,227
"289","E09000010","Enfield",313,2885,634,11372,17470,5986,7930,22420,7456,84,382,286,21636,12460,351,7725,9878,3754,218,387,153
"290","E09000011","Greenwich",0,3317,824,0,14668,7956,0,18595,9899,0,693,372,0,8183,457,0,9921,4880,0,394,199
"291","E09000012","Hackney",0,4348,600,0,7273,4493,0,8977,5407,0,515,262,0,3514,323,0,4762,3311,0,194,138
"292","E09000013","Hammersmith and Fulham",0,3734,522,0,9250,3198,0,11291,3892,0,746,228,0,3596,281,0,5705,2879,0,232,120
"293","E09000014","Haringey",0,4054,838,0,7080,6204,0,8988,7548,0,332,366,0,3153,451,0,3857,4628,0,157,192
"294","E09000015","Harrow",57,1338,555,829,5908,5776,575,7943,7208,14,81,250,459,1365,307,617,2123,3283,17,84,134
"295","E09000016","Havering",222,1809,938,10657,12973,8584,7433,16299,10713,106,333,423,26470,9891,519,7669,7488,5552,217,269,227
"296","E09000017","Hillingdon",814,3089,1685,16330,16454,17406,11024,21397,21722,233,315,760,8263,8270,933,6833,8009,9977,191,306,407
"297","E09000018","Hounslow",635,3486,887,10278,16064,9103,6256,20535,11358,187,555,400,2729,6410,491,4312,8009,5249,119,318,214
"298","E09000019","Islington",0,4138,537,0,5164,4120,0,5830,4579,0,617,235,0,2709,290,0,3500,2944,0,142,122
"299","E09000020","Kensington and Chelsea",0,3326,651,0,9773,3899,0,8946,4670,0,767,284,0,3824,350,0,5090,3593,0,207,149
"300","E09000021","Kingston upon Thames",0,1620,710,0,12553,7274,0,16625,9078,0,425,320,0,3409,393,0,6979,4201,0,273,172
"301","E09000022","Lambeth",0,7640,1140,0,9455,8499,0,11520,9898,0,1140,498,0,4309,613,0,6443,6278,0,262,261
"302","E09000023","Lewisham",0,4001,1437,0,8422,10525,0,11029,12817,0,470,628,0,3489,773,0,4681,7933,0,190,330
"303","E09000024","Merton",0,1837,645,0,5862,6098,0,7857,7606,0,273,291,0,2613,357,0,3593,3818,0,143,156
"304","E09000025","Newham",0,4112,762,0,19884,5654,0,24703,6885,0,623,333,0,14891,410,0,10690,4209,0,435,175
"305","E09000026","Redbridge",210,2462,472,4107,17527,4710,2806,22168,5873,71,366,213,2330,9888,261,3076,9881,2794,85,390,114
"306","E09000027","Richmond upon Thames",0,2463,651,0,9049,6805,0,12009,8483,0,439,294,0,2821,361,0,4475,3856,0,178,157
"307","E09000028","Southwark",0,6584,1217,0,7976,9106,0,9371,10221,0,933,531,0,3798,654,0,5586,6690,0,227,278
"308","E09000029","Sutton",0,1068,909,0,4810,8471,0,6467,10571,0,119,410,0,1187,503,0,2305,5380,0,92,220
"309","E09000030","Tower Hamlets",0,3964,1035,0,14880,7726,0,17811,9223,0,1094,452,0,10784,557,0,10192,5713,0,415,237
"310","E09000031","Waltham Forest",0,2384,380,0,12664,3708,0,15710,4623,0,390,171,0,7642,210,0,7999,2249,0,318,92
"311","E09000032","Wandsworth",0,4395,820,0,11468,7046,0,15179,8588,0,1102,358,0,4402,441,0,7238,4524,0,295,188
"312","E09000033","Westminster",0,12736,1073,0,18653,6719,0,16435,6539,0,1751,463,0,6488,576,0,9121,5793,0,371,240
"313","W06000001","Isle of Anglesey",0,683,497,0,9396,4388,0,7963,3471,0,125,105,0,4558,585,0,5717,2631,0,159,86
"314","W06000002","Gwynedd",0,2092,716,0,21889,6375,0,18590,4990,0,369,154,0,9012,862,0,12680,3869,0,363,126
"315","W06000003","Conwy",0,1622,879,0,21855,6928,0,18444,6087,0,277,163,0,9259,931,0,11686,4209,0,322,145
"316","W06000004","Denbighshire",0,1067,660,0,14641,5289,0,12620,4463,0,267,128,0,6406,722,0,7848,3258,0,224,110
"317","W06000005","Flintshire",0,1392,1359,0,29050,10245,0,25279,9499,0,347,244,0,14659,1418,0,15054,6402,0,418,228
"318","W06000006","Wrexham",0,839,991,0,14846,7985,0,13130,7181,0,156,179,0,9552,1031,0,8132,4654,0,229,163
"319","W06000008","Ceredigion",0,1031,960,0,8319,6346,0,7126,4967,0,133,205,0,3780,1145,0,4924,5144,0,143,168
"320","W06000009","Pembrokeshire",0,1335,1380,0,13020,9098,0,11217,7321,0,137,284,0,6631,1591,0,6897,7176,0,201,238
"321","W06000010","Carmarthenshire",42,2191,2053,2453,27356,13148,1338,23309,10903,17,250,403,1417,13990,2272,1158,16495,10257,32,460,344
"322","W06000011","Swansea",168,1218,1575,10242,13654,16516,5671,13782,16213,60,134,275,5702,2740,1642,4942,5970,7373,134,194,273
"323","W06000012","Neath Port Talbot",303,916,508,13625,13486,5465,7599,12151,5135,74,162,92,8784,4398,539,6513,7544,2439,176,218,88
"324","W06000013","Bridgend",305,841,1026,13033,10132,10377,7112,9475,10097,64,98,180,8107,2764,1065,7020,4443,4792,191,134,176
"325","W06000014","Vale of Glamorgan",111,652,1185,3748,7708,12449,2045,7055,11640,22,94,211,2379,2068,1236,1701,3166,5569,46,96,200
"326","W06000015","Cardiff",262,2573,2883,13663,26633,29945,7571,26498,30324,83,254,494,11329,8259,3007,7138,11078,13393,193,353,506
"327","W06000016","Rhondda Cynon Taf",231,2261,1498,8632,24083,15426,4710,22234,14687,37,210,263,5146,7375,1553,3894,13055,6992,106,383,254
"328","W06000018","Caerphilly",0,733,1413,0,12485,12981,0,10978,12551,0,91,247,0,4200,1467,0,6220,6594,0,181,242
"329","W06000019","Blaenau Gwent",0,285,327,0,5234,3096,0,4722,2980,0,32,58,0,2171,345,0,2846,1551,0,83,57
"330","W06000020","Torfaen",0,415,798,0,6995,7236,0,6513,7165,0,83,138,0,1917,828,0,3270,3711,0,98,138
"331","W06000021","Monmouthshire",249,697,794,8524,15760,8211,4651,13225,6793,100,217,156,8448,15365,882,3990,9144,3976,109,252,133
"332","W06000022","Newport",745,765,1378,24232,10104,12583,13399,9785,12271,183,118,238,20015,6397,1414,10604,4566,6360,287,145,234
"333","W06000023","Powys",0,1596,1546,0,19943,10623,0,16863,8278,0,402,333,0,15467,1865,0,12134,8367,0,351,273
"334","W06000024","Merthyr Tydfil",0,576,227,0,7002,2329,0,5990,2270,0,56,40,0,2397,238,0,3685,1068,0,103,39
