Sector,Year,Emissions
Energy Industries,1990,861.3292724
Energy Industries,2005,489.9220937
Energy Industries,2018,165.0974891
Manufacturing Industries and Construction,1990,436.6033036
Manufacturing Industries and Construction,2005,288.3092356
Manufacturing Industries and Construction,2018,143.830219
Road Transport,1990,1238.754183
Road Transport,2005,565.6642929
Road Transport,2018,258.6616247
Non-road Transport,1990,172.1112071
Non-road Transport,2005,172.3648728
Non-road Transport,2018,117.8441706
Other,1990,359.4071623
Other,2005,211.3038671
Other,2018,137.604063